% XXX,	bang(1)	vol 	dura 	out1	dura 	space(0-100)	space-fim	dura	número_do_som	dura	original(0-1)	inv(0-1);



2000,	1	40	0	100	0	50		100		29	1		199	0		0;
2199, 	1	30	0	100	0	50		100		29	1		123	0		0;
2322, 	1	40	0	100	0	50		100		29	1		199	0		0;

4198,	1	0	0;
5000,	1	30	123	100	0	50		100		29	9		843	0		0;

7000,	1	30	0	100	0	50		100		29	9		843	0		0;

9000,	1	30	0	100	0	50		100		29	9		843	0		0;



16000,	1	40	0	100	0	50		100		29	1		199	0		0;
16199, 	1	30	0	100	0	50		100		29	1		123	0		0;
16322, 	1	40	0	100	0	50		100		29	1		199	0		0;
